burst, startT [s], endT [s], relative startT [s], relative endT [s], cycle period [s], inst burstfreq [Hz], duration [s], dutycycle, interburst interval [s], #spikes , spikefreq in burst [Hz],Time,0 Channel 1
114,313.712056,314.874156,313.712056,314.874156,3.360636,0.297563,1.1621,0.345798,2.198536,78,66.259358,313.71206,10.623486
115,317.072692,317.728624,317.072692,317.728624,2.564244,0.389978,0.655932,0.255799,1.908312,38,56.408286,317.07269,10.644261
116,319.636936,321.168556,319.636936,321.168556,3.640148,0.274714,1.53162,0.420758,2.108528,92,59.414215,319.63694,10.66621
117,323.277084,323.703412,323.277084,323.703412,2.199668,0.454614,0.426328,0.193815,1.77334,25,56.294684,323.27708,10.68161
118,325.476752,327.060304,325.476752,327.060304,3.625312,0.275838,1.583552,0.436804,2.04176,91,56.834256,325.47675,10.693735
119,329.102064,329.580868,329.102064,329.580868,2.363764,0.423054,0.478804,0.20256,1.88496,29,58.479044,329.10206,10.709956
120,331.465828,332.749968,331.465828,332.749968,3.3731,0.296463,1.28414,0.3807,2.08896,77,59.183578,331.46583,10.725185
121,334.838928,335.301728,334.838928,335.301728,2.30606,0.43364,0.4628,0.200689,1.84326,28,58.340536,334.83893,10.734534
122,337.144988,338.755756,337.144988,338.755756,3.78932,0.2639,1.610768,0.425081,2.178552,96,58.978078,337.14499,10.745626
123,340.934308,341.4091,340.934308,341.4091,2.265988,0.441309,0.474792,0.20953,1.791196,29,58.973192,340.93431,10.762711
124,343.200296,344.752624,343.200296,344.752624,3.780776,0.264496,1.552328,0.410584,2.228448,94,59.910019,343.2003,10.772482
125,346.981072,347.44276,346.981072,347.44276,2.172736,0.460249,0.461688,0.212492,1.711048,28,58.481052,346.98107,10.782495
126,349.153808,350.865184,349.153808,350.865184,3.967932,0.25202,1.711376,0.431302,2.256556,98,56.679537,349.15381,10.794349
127,353.12174,353.558344,353.12174,353.558344,2.295928,0.435554,0.436604,0.190164,1.859324,28,61.840936,353.12174,10.800582
128,355.417668,356.874032,355.417668,356.874032,3.701548,0.270157,1.456364,0.393447,2.245184,85,57.677888,355.41767,10.809326
129,359.119216,359.546812,359.119216,359.546812,2.2502,0.444405,0.427596,0.190026,1.822604,29,65.482371,359.11922,10.821627
130,361.369416,362.91392,361.369416,362.91392,3.789776,0.263868,1.544504,0.407545,2.245272,90,57.623677,361.36942,10.829784
131,365.159192,365.61298,365.159192,365.61298,2.33872,0.427584,0.453788,0.194033,1.884932,25,52.888133,365.15919,10.84137
132,367.497912,369.080556,367.497912,369.080556,3.75468,0.266334,1.582644,0.421512,2.172036,91,56.866863,367.49791,10.844421
